Designator,Mid X,Mid Y,Rotation,Layer
BZ1,148.5,-66.5,180.0,top
C1,119.7,-63.4,270.0,top
C10,122.8,-74.0,180.0,top
C12,131.3,-72.9,90.0,top
C13,127.3,-74.2,90.0,top
C14,139.0,-72.9,90.0,top
C15,143.0,-72.9,90.0,top
C16,152.0,-72.9,90.0,top
C17,138.5,-106.1,270.0,top
C18,129.5,-106.1,270.0,top
C19,124.3,-90.5,180.0,top
C2,118.1,-70.5,0.0,top
C20,157.6,-77.7,0.0,top
C21,157.6,-85.0,0.0,top
C22,157.6,-96.3,0.0,top
C23,151.5,-106.1,270.0,top
C24,157.6,-97.8,0.0,top
C25,141.5,-106.1,270.0,top
C26,124.3,-101.5,180.0,top
C27,124.3,-85.0,180.0,top
C28,157.6,-76.7,0.0,top
C29,157.6,-88.2,0.0,top
C3,118.1,-68.1,0.0,top
C30,124.4,-79.2,180.0,top
C31,124.4,-80.2,180.0,top
C32,157.6,-100.6,0.0,top
C33,147.3,-106.1,270.0,top
C34,124.4,-94.9,180.0,top
C35,122.9,-100.0,90.0,top
C36,124.3,-98.5,180.0,top
C37,124.3,-99.5,180.0,top
C38,124.3,-97.5,180.0,top
C39,154.7,-74.3,90.0,top
C4,118.1,-65.7,0.0,top
C40,157.6,-84.0,0.0,top
C41,157.6,-95.3,0.0,top
C42,146.3,-106.1,270.0,top
C43,132.5,-72.9,90.0,top
C44,157.6,-78.7,0.0,top
C45,122.32,-92.2,0.0,top
C46,122.32,-94.17,0.0,top
C47,124.4,-81.2,0.0,top
C48,120.0,-86.4,0.0,top
C49,143.8,-110.0,0.0,bottom
C5,117.9,-60.6,90.0,top
C50,148.6,-122.3,0.0,top
C51,129.9,-88.9,180.0,bottom
C52,162.1,-118.8,270.0,top
C53,158.8,-120.4,180.0,top
C54,169.2,-104.6,0.0,top
C55,166.4,-104.6,180.0,top
C56,166.775,-120.4,180.0,top
C57,154.2,-112.4,0.0,top
C58,156.1,-113.4,180.0,top
C59,156.1,-112.4,180.0,top
C6,122.8,-71.6,180.0,top
C60,154.2,-118.4,0.0,top
C61,156.1,-118.4,180.0,top
C62,156.1,-119.4,180.0,top
C63,164.3,-104.6,180.0,top
C64,164.4,-120.4,180.0,top
C65,162.5,-110.0,270.0,top
C66,136.2,-78.9,270.0,bottom
C67,136.2,-84.9,270.0,bottom
C68,137.5,-89.4,0.0,bottom
C69,136.2,-96.9,270.0,bottom
C7,122.8,-69.2,180.0,top
C70,138.9,-67.9,0.0,bottom
C71,141.9,-63.8,270.0,top
C72,132.9,-67.9,0.0,bottom
C73,135.9,-63.8,270.0,top
C74,114.3,-97.8,270.0,top
C75,115.3,-97.8,270.0,top
C76,117.9,-95.37,180.0,top
C77,117.9,-94.4,180.0,top
C8,127.5,-71.6,0.0,top
C9,127.5,-69.2,0.0,top
D1,121.7,-78.3,0.0,top
D2,120.6,-87.8,0.0,top
D3,120.5875,-89.8,0.0,top
D4,164.1125,-91.8,180.0,top
D5,164.1,-89.8,180.0,top
D6,164.1,-87.8,180.0,top
D7,119.5,-102.5,180.0,top
D8,119.5,-104.0,180.0,top
FB1,124.3,-100.5,0.0,top
J1,138.5,-53.0,90.0,top
J10,123.0,-114.175,0.0,top
J11,108.7,-93.41,270.0,top
J12,133.5,-53.0,90.0,top
J13,123.5,-53.0,90.0,top
J16,109.8275,-61.495,270.0,top
J3,128.5,-53.0,90.0,top
J4,143.5,-54.0,90.0,top
J5,107.825,-104.5,270.0,top
J6,112.825,-104.5,270.0,top
J7,108.71,-82.7,270.0,top
J8,123.0,-119.175,0.0,top
J9,173.5,-81.0,90.0,top
L1,125.0,-63.5,90.0,top
R1,119.6,-78.3,90.0,top
R10,111.86,-68.2,270.0,top
R11,107.1,-69.3,90.0,top
R12,154.1,-63.1,270.0,top
R13,119.9,-60.6,90.0,top
R14,118.9,-60.6,90.0,top
R15,116.9,-60.6,90.0,top
R18,138.9,-62.7,0.0,top
R19,132.9,-62.7,0.0,top
R2,118.5,-87.8,90.0,top
R20,116.3,-97.8,270.0,top
R21,116.3,-99.8,90.0,top
R22,117.0,-102.5,180.0,top
R23,117.0,-104.0,180.0,top
R24,114.3,-95.91,270.0,top
R25,114.0,-90.7,270.0,top
R3,118.4875,-89.8,90.0,top
R4,166.2125,-91.8,270.0,top
R5,166.2,-89.8,270.0,top
R6,166.2,-87.8,270.0,top
R7,114.01,-85.4,270.0,top
R8,114.01,-80.0,270.0,top
R9,110.86,-68.2,90.0,top
SW1,157.5075,-66.5,90.0,top
SW2,110.0,-74.5075,0.0,top
SW3,169.4875,-99.005,270.0,top
SW4,119.5,-109.0,90.0,top
U1,159.53,-51.98,90.0,top
U10,167.975,-112.5,270.0,top
U11,141.4,-86.4,270.0,bottom
U12,141.4,-80.4,270.0,bottom
U13,141.4,-92.4,270.0,bottom
U14,141.4,-98.4,270.0,bottom
U15,138.9,-67.0,0.0,top
U16,132.9,-67.0,0.0,top
U18,119.5,-98.5,0.0,top
U2,109.0,-69.0,180.0,top
U3,117.8,-63.0,0.0,top
U4,141.0,-89.5,270.0,top
U5,141.0,-115.0,270.0,top
U6,131.879048,-92.4,270.0,bottom
U7,155.0,-110.0,0.0,top
U8,159.7,-118.0,270.0,top
U9,155.0,-116.0,0.0,top
Y1,121.2,-82.6,270.0,top
Y2,124.3,-93.25,0.0,top
Y3,159.8,-110.0,180.0,top
